event_type,msg_len,app_installed,delivery_retry_score,label_channel
Beneficiary Added Alert,94,0,2,WhatsApp
Reward Points Update,131,0,0,Email
Reward Points Update,70,0,0,Email
KYC Reminder,298,1,0,Push Notification
Login OTP,12,0,1,WhatsApp
Payment Confirmation,104,1,0,Email
Reward Points Update,161,1,1,Email
Fraud Alert,90,0,0,SMS
Fraud Alert,87,1,1,SMS
Transaction OTP,8,1,0,Push Notification
Beneficiary Added Alert,94,0,0,WhatsApp
Low Balance Alert,113,0,0,Email
KYC Reminder,143,1,0,Push Notification
Login OTP,10,1,1,WhatsApp
Login OTP,12,0,0,SMS
Beneficiary Added Alert,80,1,1,WhatsApp
KYC Reminder,300,1,1,Push Notification
Transaction OTP,12,1,1,Push Notification
Low Balance Alert,93,0,0,Email
Monthly Statement,35,1,2,Push Notification
Fraud Alert,108,0,0,SMS
Fraud Alert,108,1,0,SMS
KYC Reminder,249,0,1,Push Notification
Transaction OTP,5,1,0,Push Notification
Low Balance Alert,90,0,0,Email
Login OTP,5,0,0,SMS
Credit Card Bill Reminder,224,1,1,Push Notification
Fraud Alert,113,1,1,SMS
Beneficiary Added Alert,105,0,0,WhatsApp
Beneficiary Added Alert,83,0,1,Email
Login OTP,12,1,0,SMS
Payment Confirmation,75,1,1,Push Notification
Reward Points Update,168,1,2,Push Notification
Transaction OTP,4,0,0,Email
Beneficiary Added Alert,104,1,2,WhatsApp
Credit Card Bill Reminder,325,0,0,Email
Login OTP,11,1,1,SMS
KYC Reminder,301,1,0,Email
Payment Confirmation,68,1,0,Email
Credit Card Bill Reminder,199,1,1,Push Notification
Login OTP,5,1,1,SMS
Fraud Alert,64,1,2,SMS
Low Balance Alert,51,0,1,Email
Low Balance Alert,70,0,0,Email
Login OTP,9,1,0,SMS
Monthly Statement,182,1,0,Push Notification
Monthly Statement,63,0,0,Email
Beneficiary Added Alert,106,0,0,WhatsApp
Monthly Statement,58,0,0,Email
Reward Points Update,151,0,1,Email
Transaction OTP,5,1,0,Email
KYC Reminder,190,0,0,Push Notification
Fraud Alert,62,1,0,SMS
Monthly Statement,53,1,0,Push Notification
Fraud Alert,62,1,1,SMS
Monthly Statement,142,1,1,Push Notification
Credit Card Bill Reminder,315,1,0,Email
Reward Points Update,169,1,1,Push Notification
KYC Reminder,139,0,1,Push Notification
Login OTP,7,1,1,SMS
Fraud Alert,58,1,2,SMS
Payment Confirmation,95,1,0,Push Notification
Transaction OTP,9,1,0,Email
Reward Points Update,44,1,0,Push Notification
Transaction OTP,8,1,3,Email
Payment Confirmation,94,1,0,Email
Reward Points Update,150,0,1,Email
Credit Card Bill Reminder,138,0,1,Email
KYC Reminder,155,1,0,Push Notification
Transaction OTP,6,1,1,Email
Low Balance Alert,73,1,0,Push Notification
Credit Card Bill Reminder,308,1,2,Push Notification
Credit Card Bill Reminder,281,0,0,Email
Login OTP,7,0,0,SMS
Credit Card Bill Reminder,193,0,0,Email
Credit Card Bill Reminder,291,1,1,Email
Fraud Alert,40,0,0,SMS
Reward Points Update,63,1,2,Push Notification
KYC Reminder,238,0,2,Push Notification
Reward Points Update,105,0,0,Email
Fraud Alert,116,1,0,SMS
Monthly Statement,172,1,1,Email
Fraud Alert,47,1,0,SMS
KYC Reminder,105,1,2,Push Notification
Monthly Statement,45,1,1,Email
Fraud Alert,99,0,2,SMS
Low Balance Alert,101,1,2,Email
Credit Card Bill Reminder,350,0,0,Email
Login OTP,7,0,0,SMS
KYC Reminder,198,1,0,Push Notification
Beneficiary Added Alert,119,1,0,Email
Beneficiary Added Alert,107,1,1,WhatsApp
Transaction OTP,11,1,0,Push Notification
KYC Reminder,179,0,0,Push Notification
Transaction OTP,6,1,1,Push Notification
Transaction OTP,12,0,0,Email
Monthly Statement,81,1,0,Push Notification
KYC Reminder,191,1,1,Push Notification
Beneficiary Added Alert,44,1,2,WhatsApp
Monthly Statement,169,0,1,Email
Reward Points Update,181,1,2,Push Notification
Low Balance Alert,62,1,0,Push Notification
Login OTP,6,1,1,SMS
Payment Confirmation,124,0,0,Email
Fraud Alert,52,1,0,SMS
Credit Card Bill Reminder,173,1,1,Push Notification
Login OTP,8,1,0,SMS
Fraud Alert,61,1,0,SMS
KYC Reminder,166,0,1,Push Notification
Reward Points Update,136,1,0,Email
KYC Reminder,242,1,0,Push Notification
Low Balance Alert,85,1,0,Push Notification
Low Balance Alert,111,0,2,Email
Transaction OTP,4,1,2,Push Notification
KYC Reminder,270,1,2,Push Notification
Payment Confirmation,50,1,0,Email
Credit Card Bill Reminder,222,1,1,Push Notification
Payment Confirmation,146,1,2,Push Notification
Monthly Statement,74,1,2,Email
Fraud Alert,78,1,1,SMS
Payment Confirmation,125,1,0,Email
Fraud Alert,99,1,1,SMS
KYC Reminder,331,0,0,Push Notification
Low Balance Alert,30,1,2,Push Notification
Transaction OTP,11,0,0,Email
Login OTP,5,1,0,SMS
Transaction OTP,12,1,0,Email
Beneficiary Added Alert,111,1,2,WhatsApp
Monthly Statement,52,1,3,Push Notification
Login OTP,11,1,2,SMS
Low Balance Alert,48,0,1,Email
Fraud Alert,107,1,1,SMS
Beneficiary Added Alert,69,0,1,WhatsApp
Fraud Alert,104,1,1,SMS
Beneficiary Added Alert,53,0,1,WhatsApp
Beneficiary Added Alert,86,1,1,WhatsApp
Monthly Statement,120,1,1,Email
Low Balance Alert,105,1,1,Push Notification
Credit Card Bill Reminder,335,1,0,Push Notification
KYC Reminder,140,0,0,Push Notification
Monthly Statement,135,1,1,Push Notification
Fraud Alert,62,1,2,SMS
Transaction OTP,11,0,2,Email
Fraud Alert,105,1,1,SMS
Login OTP,5,0,1,SMS
KYC Reminder,170,1,3,Push Notification
Transaction OTP,9,0,0,Email
Reward Points Update,54,0,0,Email
Monthly Statement,104,0,0,Email
Reward Points Update,27,0,0,Email
Low Balance Alert,31,1,1,Push Notification
Beneficiary Added Alert,20,0,0,WhatsApp
Beneficiary Added Alert,100,0,0,WhatsApp
Credit Card Bill Reminder,265,0,1,Email
Fraud Alert,38,1,0,SMS
Beneficiary Added Alert,42,0,1,WhatsApp
Transaction OTP,4,1,0,Push Notification
Fraud Alert,54,0,0,SMS
Fraud Alert,67,1,0,SMS
Credit Card Bill Reminder,148,1,0,Push Notification
KYC Reminder,250,0,0,Push Notification
Fraud Alert,105,0,2,SMS
Reward Points Update,23,0,3,Email
Login OTP,7,0,0,Push Notification
Beneficiary Added Alert,44,1,1,WhatsApp
Monthly Statement,49,1,0,Email
Credit Card Bill Reminder,149,1,0,Email
Monthly Statement,105,1,1,Push Notification
Login OTP,6,0,0,SMS
KYC Reminder,175,1,1,Push Notification
Fraud Alert,111,0,0,SMS
Transaction OTP,10,0,2,WhatsApp
KYC Reminder,116,0,0,Push Notification
Payment Confirmation,38,1,0,Push Notification
Reward Points Update,50,0,0,Email
Login OTP,9,1,0,SMS
Transaction OTP,4,1,1,Push Notification
Beneficiary Added Alert,74,1,1,WhatsApp
Transaction OTP,8,1,1,Push Notification
Transaction OTP,12,1,1,Push Notification
Monthly Statement,71,1,1,Push Notification
Monthly Statement,200,0,0,Email
Credit Card Bill Reminder,285,0,1,Email
KYC Reminder,218,1,1,Push Notification
Beneficiary Added Alert,42,0,1,WhatsApp
Beneficiary Added Alert,25,0,1,WhatsApp
Reward Points Update,48,0,1,Email
Credit Card Bill Reminder,132,0,0,Email
Payment Confirmation,87,0,1,Email
Low Balance Alert,66,0,1,Email
Fraud Alert,100,0,0,SMS
Login OTP,10,1,0,SMS
Credit Card Bill Reminder,238,0,0,Email
Reward Points Update,133,1,1,Push Notification
Credit Card Bill Reminder,172,0,1,Email
KYC Reminder,173,1,1,Push Notification
Low Balance Alert,60,1,0,Push Notification
Reward Points Update,94,0,0,Email
Monthly Statement,124,1,1,Push Notification
Monthly Statement,24,1,2,Push Notification
Fraud Alert,52,0,0,SMS
KYC Reminder,195,1,0,Push Notification
Low Balance Alert,92,1,2,Email
Beneficiary Added Alert,120,1,1,WhatsApp
Reward Points Update,197,0,1,Email
Low Balance Alert,111,0,0,WhatsApp
KYC Reminder,262,1,0,Push Notification
Low Balance Alert,29,1,0,Push Notification
Login OTP,8,0,1,SMS
Low Balance Alert,94,1,0,Push Notification
Login OTP,7,0,0,SMS
Reward Points Update,101,1,0,Push Notification
Reward Points Update,76,0,1,Email
KYC Reminder,221,0,0,Push Notification
Payment Confirmation,102,1,1,Email
Payment Confirmation,61,1,0,Email
Transaction OTP,6,1,0,Push Notification
Fraud Alert,76,1,1,SMS
KYC Reminder,308,0,2,Push Notification
KYC Reminder,234,0,1,Push Notification
KYC Reminder,181,1,0,Push Notification
Low Balance Alert,34,0,2,Email
Beneficiary Added Alert,118,1,1,WhatsApp
Payment Confirmation,104,0,2,Email
Fraud Alert,117,0,0,SMS
Monthly Statement,77,1,0,Email
Transaction OTP,7,1,0,Push Notification
KYC Reminder,330,1,0,Push Notification
Fraud Alert,93,1,0,SMS
Reward Points Update,112,0,2,Email
Payment Confirmation,71,1,2,Push Notification
Monthly Statement,179,1,2,WhatsApp
KYC Reminder,341,1,0,Push Notification
Beneficiary Added Alert,100,0,1,WhatsApp
Monthly Statement,191,0,0,Email
KYC Reminder,247,0,2,SMS
Payment Confirmation,83,0,1,Email
Beneficiary Added Alert,115,0,1,WhatsApp
Credit Card Bill Reminder,190,0,2,Email
Fraud Alert,67,1,1,SMS
Transaction OTP,7,0,1,Email
Credit Card Bill Reminder,281,0,2,Email
KYC Reminder,342,0,1,Push Notification
Login OTP,8,1,0,SMS
KYC Reminder,120,0,0,Push Notification
Transaction OTP,12,1,0,Push Notification
Low Balance Alert,101,0,0,Email
Login OTP,11,0,1,SMS
Fraud Alert,97,0,0,SMS
Monthly Statement,125,1,1,Push Notification
KYC Reminder,114,1,0,Push Notification
Login OTP,6,1,3,SMS
Beneficiary Added Alert,66,1,3,WhatsApp
KYC Reminder,259,1,1,Push Notification
Monthly Statement,51,1,2,Email
Low Balance Alert,44,1,0,Push Notification
Beneficiary Added Alert,76,1,2,WhatsApp
Reward Points Update,86,1,1,Email
Reward Points Update,197,0,2,Email
Transaction OTP,4,0,0,Email
Fraud Alert,83,1,0,Push Notification
KYC Reminder,312,1,0,Push Notification
Reward Points Update,168,0,0,Email
Transaction OTP,6,1,1,Email
Credit Card Bill Reminder,266,1,1,Push Notification
Credit Card Bill Reminder,214,1,1,Push Notification
Fraud Alert,73,1,0,SMS
Credit Card Bill Reminder,304,1,0,Push Notification
Credit Card Bill Reminder,113,1,1,Push Notification
Fraud Alert,49,0,0,SMS
Credit Card Bill Reminder,326,1,1,Push Notification
Transaction OTP,11,1,0,Push Notification
Fraud Alert,23,1,1,SMS
KYC Reminder,117,1,0,Push Notification
Reward Points Update,20,1,0,Push Notification
Login OTP,6,1,0,SMS
Transaction OTP,6,1,1,Email
Monthly Statement,65,1,1,Push Notification
Fraud Alert,55,0,1,SMS
Login OTP,11,0,0,SMS
Monthly Statement,193,0,0,SMS
Beneficiary Added Alert,32,0,0,WhatsApp
Reward Points Update,53,1,2,Push Notification
Transaction OTP,12,0,0,Email
Low Balance Alert,73,0,1,Email
KYC Reminder,333,1,0,Push Notification
Credit Card Bill Reminder,111,1,0,Email
Transaction OTP,10,0,0,Email
Fraud Alert,90,0,1,SMS
Beneficiary Added Alert,60,1,1,WhatsApp
Credit Card Bill Reminder,218,1,0,Push Notification
Low Balance Alert,20,1,0,Email
Fraud Alert,114,1,0,SMS
Payment Confirmation,49,1,0,Email
Transaction OTP,9,1,1,Push Notification
Payment Confirmation,88,0,1,Email
Payment Confirmation,173,1,1,Email
Beneficiary Added Alert,32,1,0,WhatsApp
Monthly Statement,132,0,2,Email
Monthly Statement,104,0,0,Email
Fraud Alert,71,1,1,SMS
KYC Reminder,316,1,0,Push Notification
Fraud Alert,102,1,1,SMS
Beneficiary Added Alert,82,1,0,Push Notification
Credit Card Bill Reminder,130,0,0,Email
Low Balance Alert,88,0,0,Email
Payment Confirmation,164,0,0,Email
Credit Card Bill Reminder,283,0,2,Email
Payment Confirmation,162,0,0,Email
Low Balance Alert,99,0,0,Email
KYC Reminder,164,0,2,Push Notification
Login OTP,5,0,1,SMS
Beneficiary Added Alert,95,0,0,WhatsApp
Monthly Statement,38,1,0,Email
Payment Confirmation,138,0,1,WhatsApp
Payment Confirmation,37,0,1,Email
Credit Card Bill Reminder,131,1,0,Push Notification
Low Balance Alert,107,0,1,SMS
Transaction OTP,12,1,0,Push Notification
Beneficiary Added Alert,107,0,0,WhatsApp
Credit Card Bill Reminder,210,0,0,Email
Payment Confirmation,31,0,0,Email
Beneficiary Added Alert,83,1,0,WhatsApp
Credit Card Bill Reminder,194,0,0,Email
Fraud Alert,61,0,1,SMS
Beneficiary Added Alert,89,0,0,WhatsApp
Credit Card Bill Reminder,178,1,1,Email
Fraud Alert,95,0,1,WhatsApp
Login OTP,11,1,0,SMS
KYC Reminder,314,1,0,Push Notification
Login OTP,10,1,0,SMS
Low Balance Alert,91,1,1,Push Notification
Credit Card Bill Reminder,133,1,1,Email
Low Balance Alert,39,1,0,Push Notification
Beneficiary Added Alert,72,1,0,WhatsApp
Beneficiary Added Alert,66,1,2,WhatsApp
Fraud Alert,63,1,2,SMS
Login OTP,6,1,0,SMS
Credit Card Bill Reminder,132,0,1,Email
KYC Reminder,296,0,1,SMS
Transaction OTP,5,1,0,Push Notification
Credit Card Bill Reminder,276,0,0,Email
Login OTP,7,0,0,SMS
Low Balance Alert,29,0,2,Email
Login OTP,9,1,2,SMS
Beneficiary Added Alert,88,1,1,WhatsApp
Fraud Alert,85,1,1,SMS
Beneficiary Added Alert,53,1,1,WhatsApp
KYC Reminder,250,0,0,Push Notification
Low Balance Alert,98,0,0,Email
Credit Card Bill Reminder,269,1,1,WhatsApp
Reward Points Update,116,0,2,Email
Fraud Alert,27,0,0,SMS
Monthly Statement,166,0,2,Email
Reward Points Update,82,1,0,Push Notification
KYC Reminder,167,1,0,Push Notification
Payment Confirmation,186,1,0,Email
KYC Reminder,299,1,0,Push Notification
Fraud Alert,108,0,0,SMS
Beneficiary Added Alert,45,1,0,WhatsApp
Low Balance Alert,63,1,1,Push Notification
Reward Points Update,148,0,2,Email
Monthly Statement,115,0,1,Email
KYC Reminder,126,1,0,Push Notification
Monthly Statement,60,1,1,Email
Login OTP,4,0,1,SMS
Transaction OTP,4,1,0,Email
Reward Points Update,141,0,1,Email
Payment Confirmation,110,0,0,Email
Transaction OTP,7,0,0,Email
Login OTP,9,0,1,SMS
Beneficiary Added Alert,28,1,0,WhatsApp
Fraud Alert,42,1,0,SMS
Low Balance Alert,50,0,0,Email
Login OTP,10,1,0,SMS
Transaction OTP,5,0,0,Email
Fraud Alert,103,0,0,SMS
Payment Confirmation,167,0,3,Email
Monthly Statement,172,1,0,Push Notification
Payment Confirmation,115,1,2,Push Notification
Reward Points Update,177,0,1,Email
Reward Points Update,34,1,0,Email
Login OTP,5,1,1,WhatsApp
Login OTP,8,1,1,SMS
Payment Confirmation,81,1,1,Push Notification
Fraud Alert,33,0,0,SMS
Login OTP,7,0,3,SMS
Payment Confirmation,174,0,2,Email
Beneficiary Added Alert,96,0,2,WhatsApp
Login OTP,7,0,1,SMS
KYC Reminder,196,0,0,Push Notification
Low Balance Alert,24,1,2,Push Notification
Monthly Statement,153,1,2,Email
Credit Card Bill Reminder,107,1,1,Email
KYC Reminder,338,1,1,Push Notification
Transaction OTP,8,0,1,Email
Low Balance Alert,22,1,1,Push Notification
Payment Confirmation,161,1,1,Email
KYC Reminder,166,0,1,Push Notification
Beneficiary Added Alert,73,0,0,WhatsApp
Credit Card Bill Reminder,108,1,0,Email
KYC Reminder,184,1,0,Push Notification
Transaction OTP,9,0,0,Email
Reward Points Update,186,1,0,Push Notification
Reward Points Update,37,0,0,Push Notification
Monthly Statement,180,1,2,Push Notification
KYC Reminder,256,0,0,Push Notification
Credit Card Bill Reminder,315,0,1,Email
Reward Points Update,119,1,0,Email
Monthly Statement,46,1,0,Push Notification
Reward Points Update,102,1,2,Email
Fraud Alert,37,1,0,SMS
KYC Reminder,200,1,1,Push Notification
Beneficiary Added Alert,32,1,0,WhatsApp
Low Balance Alert,98,1,1,Push Notification
Payment Confirmation,45,0,2,Email
Reward Points Update,80,1,0,Email
Login OTP,9,1,0,SMS
KYC Reminder,309,1,0,Push Notification
Credit Card Bill Reminder,143,0,1,Email
Low Balance Alert,81,1,0,Push Notification
Monthly Statement,200,1,0,Email
Login OTP,10,0,1,SMS
Monthly Statement,74,0,0,Email
Transaction OTP,9,0,1,Email
Reward Points Update,110,0,0,Email
Reward Points Update,27,1,0,Push Notification
Beneficiary Added Alert,29,1,1,WhatsApp
Login OTP,9,0,0,SMS
Payment Confirmation,154,0,0,Push Notification
Low Balance Alert,93,0,2,Email
Credit Card Bill Reminder,291,1,0,Push Notification
Reward Points Update,102,0,2,Email
Credit Card Bill Reminder,231,0,0,Email
Login OTP,12,1,0,SMS
Login OTP,9,1,0,SMS
Payment Confirmation,151,0,0,Email
Fraud Alert,39,0,1,SMS
Beneficiary Added Alert,87,1,2,WhatsApp
KYC Reminder,335,0,1,Push Notification
Payment Confirmation,94,1,0,SMS
KYC Reminder,122,0,1,Push Notification
Credit Card Bill Reminder,288,1,1,Push Notification
Transaction OTP,12,0,0,Email
Login OTP,8,1,2,SMS
Fraud Alert,90,0,1,SMS
Credit Card Bill Reminder,162,1,1,Email
Fraud Alert,77,1,0,SMS
Reward Points Update,25,1,0,Push Notification
Reward Points Update,138,1,1,Push Notification
Fraud Alert,29,1,0,SMS
Fraud Alert,23,0,0,SMS
Transaction OTP,8,1,2,Email
Fraud Alert,83,0,0,SMS
Fraud Alert,110,0,0,SMS
Fraud Alert,60,1,0,SMS
Fraud Alert,75,0,0,SMS
Login OTP,9,0,0,SMS
Low Balance Alert,54,0,0,Email
Monthly Statement,148,1,0,Email
Low Balance Alert,24,0,1,Email
Login OTP,7,1,1,SMS
Login OTP,9,0,2,SMS
Reward Points Update,41,1,1,Email
Login OTP,9,0,1,SMS
Low Balance Alert,67,0,0,Email
Low Balance Alert,115,0,1,Email
Low Balance Alert,38,0,0,Email
Payment Confirmation,49,1,2,Email
Transaction OTP,10,0,0,Email
Monthly Statement,92,1,1,Push Notification
Low Balance Alert,36,1,3,Email
Beneficiary Added Alert,113,0,1,WhatsApp
Fraud Alert,108,1,0,SMS
KYC Reminder,181,1,1,Push Notification
Fraud Alert,38,0,0,SMS
KYC Reminder,266,0,1,Push Notification
Transaction OTP,12,0,2,Email
Credit Card Bill Reminder,138,1,0,Push Notification
Beneficiary Added Alert,93,1,1,WhatsApp
Reward Points Update,43,0,1,Email
Credit Card Bill Reminder,296,1,0,Push Notification
Fraud Alert,63,1,1,SMS
Credit Card Bill Reminder,149,1,0,Push Notification
Reward Points Update,150,1,0,WhatsApp
Credit Card Bill Reminder,192,0,0,Email
KYC Reminder,254,0,1,Push Notification
Monthly Statement,73,1,0,Push Notification
Reward Points Update,38,0,1,Email
Transaction OTP,12,1,0,Email
Reward Points Update,83,1,1,Email
Low Balance Alert,51,1,2,Email
KYC Reminder,140,1,1,Push Notification
KYC Reminder,128,0,1,Push Notification
KYC Reminder,291,0,1,Push Notification
Reward Points Update,158,1,1,Push Notification
Fraud Alert,34,0,0,SMS
KYC Reminder,185,0,1,Push Notification
Monthly Statement,41,1,0,Push Notification
Login OTP,9,1,0,SMS
KYC Reminder,286,0,2,Push Notification
Low Balance Alert,81,0,1,Email
Credit Card Bill Reminder,180,1,0,Push Notification
Credit Card Bill Reminder,110,1,1,Push Notification
Monthly Statement,162,1,0,Email
Credit Card Bill Reminder,292,0,0,Email
Credit Card Bill Reminder,284,1,2,Push Notification
KYC Reminder,291,1,0,Push Notification
KYC Reminder,237,0,1,Push Notification
Login OTP,12,1,0,SMS
Transaction OTP,4,1,0,Email
Login OTP,8,0,2,SMS
Login OTP,4,1,0,SMS
Credit Card Bill Reminder,275,0,0,Email
Monthly Statement,23,1,1,Email
Low Balance Alert,72,0,1,SMS
Low Balance Alert,75,0,0,Email
Transaction OTP,4,1,0,Email
Monthly Statement,64,0,0,SMS
Payment Confirmation,113,1,2,Email
Transaction OTP,9,1,2,Email
Login OTP,12,1,1,SMS
Fraud Alert,63,1,1,SMS
Beneficiary Added Alert,117,1,0,WhatsApp
Payment Confirmation,55,1,2,Email
Login OTP,10,1,0,SMS
Low Balance Alert,68,1,0,Email
Low Balance Alert,46,0,0,Email
Beneficiary Added Alert,115,0,1,WhatsApp
Beneficiary Added Alert,92,0,0,WhatsApp
Reward Points Update,182,0,3,Email
Fraud Alert,77,1,0,SMS
KYC Reminder,218,0,0,Push Notification
Fraud Alert,56,0,1,SMS
Reward Points Update,106,0,0,Email
Beneficiary Added Alert,40,1,0,WhatsApp
Beneficiary Added Alert,41,0,0,WhatsApp
Reward Points Update,60,1,0,Email
Beneficiary Added Alert,101,0,1,WhatsApp
Monthly Statement,97,0,0,Email
KYC Reminder,288,1,1,Push Notification
Credit Card Bill Reminder,203,0,1,Email
Low Balance Alert,34,0,1,Email
Reward Points Update,121,1,1,Push Notification
Beneficiary Added Alert,58,1,1,WhatsApp
Low Balance Alert,22,1,1,Push Notification
Beneficiary Added Alert,57,0,0,WhatsApp
Low Balance Alert,86,1,1,Email
Beneficiary Added Alert,74,0,0,WhatsApp
Low Balance Alert,74,0,0,Email
Monthly Statement,123,1,1,Email
Reward Points Update,93,1,0,Push Notification
Fraud Alert,79,0,0,SMS
Monthly Statement,86,0,2,Email
Reward Points Update,60,1,2,Push Notification
Login OTP,9,1,0,SMS
Reward Points Update,106,0,1,Email
KYC Reminder,102,1,0,Push Notification
Login OTP,4,0,0,SMS
Monthly Statement,77,1,0,Email
Credit Card Bill Reminder,312,0,0,Email
Monthly Statement,187,1,2,Push Notification
KYC Reminder,347,0,1,Push Notification
Beneficiary Added Alert,66,1,1,WhatsApp
Monthly Statement,187,0,2,Email
Transaction OTP,5,1,1,Email
Transaction OTP,5,1,0,Push Notification
Reward Points Update,199,1,0,Push Notification
Reward Points Update,173,1,0,Push Notification
Login OTP,6,0,0,SMS
Fraud Alert,106,0,0,SMS
KYC Reminder,106,1,3,Push Notification
Reward Points Update,198,0,0,Email
Monthly Statement,139,0,0,Email
Reward Points Update,150,1,2,Push Notification
Transaction OTP,5,1,0,Push Notification
KYC Reminder,192,0,0,Push Notification
Fraud Alert,29,1,1,SMS
Payment Confirmation,77,1,0,Push Notification
Low Balance Alert,109,1,0,Push Notification
Monthly Statement,197,0,2,Email
Reward Points Update,29,1,1,Email
Payment Confirmation,104,0,1,Email
Monthly Statement,72,1,0,Email
Transaction OTP,8,0,1,Push Notification
Credit Card Bill Reminder,308,0,1,Email
Beneficiary Added Alert,105,0,0,WhatsApp
Credit Card Bill Reminder,322,0,1,Email
Fraud Alert,74,0,0,SMS
Reward Points Update,125,0,0,Email
Low Balance Alert,73,1,0,Email
Fraud Alert,86,0,2,WhatsApp
Credit Card Bill Reminder,213,1,0,Push Notification
Beneficiary Added Alert,61,1,1,WhatsApp
Credit Card Bill Reminder,154,1,1,Push Notification
Login OTP,10,1,1,SMS
Credit Card Bill Reminder,237,1,0,Push Notification
Credit Card Bill Reminder,273,0,1,Email
Reward Points Update,40,0,2,Email
Monthly Statement,125,1,0,Push Notification
Beneficiary Added Alert,77,1,0,WhatsApp
Payment Confirmation,120,1,1,Email
Login OTP,10,0,0,SMS
Low Balance Alert,40,1,0,Email
Fraud Alert,23,0,1,SMS
Payment Confirmation,171,0,1,Email
Payment Confirmation,57,1,0,Push Notification
Login OTP,11,1,0,SMS
KYC Reminder,240,1,1,Push Notification
KYC Reminder,212,0,1,Push Notification
KYC Reminder,263,0,1,Push Notification
Fraud Alert,60,1,0,SMS
Beneficiary Added Alert,34,1,0,SMS
Transaction OTP,6,1,0,Push Notification
KYC Reminder,236,0,0,Push Notification
Login OTP,4,1,0,SMS
Fraud Alert,120,1,0,SMS
Login OTP,4,1,2,SMS
Fraud Alert,49,1,1,SMS
Credit Card Bill Reminder,263,1,0,Email
Monthly Statement,151,0,0,Email
Payment Confirmation,120,1,1,Email
Beneficiary Added Alert,92,1,1,WhatsApp
Transaction OTP,7,1,1,Push Notification
KYC Reminder,280,1,2,Push Notification
Credit Card Bill Reminder,197,1,3,Push Notification
Payment Confirmation,180,1,1,Push Notification
KYC Reminder,306,0,1,Push Notification
Beneficiary Added Alert,42,1,1,WhatsApp
Reward Points Update,177,1,1,Push Notification
Login OTP,7,1,0,SMS
Reward Points Update,23,1,0,WhatsApp
Fraud Alert,80,0,0,SMS
Monthly Statement,200,1,1,Push Notification
Transaction OTP,10,0,0,Email
Credit Card Bill Reminder,111,1,2,Push Notification
Transaction OTP,8,0,1,Email
Reward Points Update,56,0,0,Email
Fraud Alert,30,0,1,SMS
Low Balance Alert,97,0,0,Email
Low Balance Alert,60,1,0,Push Notification
Monthly Statement,142,0,1,Email
Fraud Alert,47,1,1,SMS
Monthly Statement,145,1,0,Push Notification
KYC Reminder,316,0,0,Push Notification
Monthly Statement,142,0,1,Email
Beneficiary Added Alert,35,1,2,SMS
Monthly Statement,136,0,0,Email
Payment Confirmation,134,0,1,Email
Transaction OTP,11,0,0,Email
Credit Card Bill Reminder,214,0,1,Email
Login OTP,5,0,1,SMS
Beneficiary Added Alert,35,1,1,WhatsApp
Payment Confirmation,142,1,2,Push Notification
Beneficiary Added Alert,35,0,0,WhatsApp
Login OTP,9,1,1,SMS
Transaction OTP,8,0,0,Email
Payment Confirmation,75,1,1,Push Notification
KYC Reminder,115,1,0,Push Notification
Beneficiary Added Alert,24,0,1,WhatsApp
Transaction OTP,5,1,0,Email
Low Balance Alert,24,1,3,Push Notification
Monthly Statement,33,1,1,Email
Low Balance Alert,37,1,2,Push Notification
Credit Card Bill Reminder,254,1,2,Push Notification
Payment Confirmation,39,1,2,SMS
Credit Card Bill Reminder,156,1,0,Email
Beneficiary Added Alert,34,1,0,WhatsApp
Fraud Alert,50,1,0,SMS
Transaction OTP,4,1,1,Push Notification
KYC Reminder,206,1,2,Push Notification
Payment Confirmation,187,1,0,Push Notification
Low Balance Alert,34,0,1,Email
Reward Points Update,93,0,0,Email
Beneficiary Added Alert,36,1,0,WhatsApp
Transaction OTP,12,1,3,Email
Transaction OTP,5,1,1,Email
Fraud Alert,60,1,0,SMS
Transaction OTP,4,0,0,Email
Beneficiary Added Alert,102,1,0,WhatsApp
Monthly Statement,65,0,1,Email
Fraud Alert,32,1,0,SMS
Fraud Alert,44,1,0,SMS
Login OTP,9,1,0,SMS
Reward Points Update,117,1,2,SMS
Beneficiary Added Alert,47,1,0,WhatsApp
Beneficiary Added Alert,40,0,1,WhatsApp
Reward Points Update,141,0,0,WhatsApp
Low Balance Alert,87,0,0,Email
Login OTP,9,1,1,SMS
Monthly Statement,20,1,0,WhatsApp
KYC Reminder,164,1,2,Push Notification
Beneficiary Added Alert,26,0,1,Push Notification
Monthly Statement,20,0,1,Email
Transaction OTP,10,0,0,Email
Credit Card Bill Reminder,112,1,2,Push Notification
KYC Reminder,234,1,2,Push Notification
KYC Reminder,160,0,1,Push Notification
Beneficiary Added Alert,115,0,0,WhatsApp
Reward Points Update,179,0,1,Email
KYC Reminder,285,0,0,Push Notification
Beneficiary Added Alert,84,0,1,WhatsApp
Fraud Alert,37,1,0,SMS
Transaction OTP,8,1,0,Email
Login OTP,12,1,0,SMS
Low Balance Alert,106,1,1,Push Notification
Low Balance Alert,108,0,0,Email
Transaction OTP,10,1,1,Email
Login OTP,7,1,0,SMS
Low Balance Alert,45,1,1,Push Notification
Monthly Statement,41,0,1,Email
Payment Confirmation,97,0,0,Email
Transaction OTP,6,0,0,Email
Monthly Statement,95,1,1,Push Notification
Beneficiary Added Alert,85,1,0,WhatsApp
